,Artist,Streams,Daily,As lead,Solo,As feature
463,Plan B,"4,154.0",4.549,"2,695.5","2,281.6","1,458.6"
464,Los Ángeles Azules,"4,132.7",3.235,"3,984.2","1,378.5",148.4
465,Becky Hill,"4,127.3",2.454,"1,434.6",264.4,"2,692.7"
466,Vicente Fernández,"4,126.8",2.799,"3,993.9","3,917.8",132.9
467,AJR,"4,124.7",1.785,"3,902.2","3,614.0",222.5
468,Jessie J,"4,118.0",1.475,"4,001.0","2,086.3",117.0
469,Iggy Azalea,"4,117.1",1.015,"2,700.5",730.4,"1,416.6"
470,Clairo,"4,106.2",2.901,"3,126.7","2,933.2",979.5
471,Stormzy,"4,094.9",1.704,"2,477.5","1,563.9","1,617.4"
472,Maren Morris,"4,088.5",1.454,"1,773.3","1,484.3","2,315.2"
473,Seeb,"4,082.8",1.008,906.3,6.7,"3,176.4"
474,SEVENTEEN,"4,081.9",4.780,"4,054.8","4,030.5",27.1
475,ILLENIUM,"4,081.7",1.534,"2,852.8",164.5,"1,228.9"
476,The Police,"4,080.9",2.897,"4,080.9","4,070.4",
477,Sam Feldt,"4,077.3",1.378,"2,975.1",137.3,"1,102.2"
478,will.i.am,"4,071.5",1.769,"1,685.6",141.2,"2,385.9"
479,La Arrolladora Banda El Limón De Rene Camacho,"4,066.2",2.485,"4,044.2","3,982.9",22.0
480,RAYE,"4,064.8",2.665,"1,487.2",353.3,"2,577.7"
481,Damso,"4,051.8",2.427,"2,770.4","2,518.4","1,281.4"
482,Luciano,"4,045.5",2.275,"2,804.9","2,019.8","1,240.6"
483,Eslabon Armado,"4,001.0",5.745,"3,781.1","2,049.2",220.0
484,Jeremy Zucker,"3,989.5",1.300,"3,673.9","1,542.6",315.6
485,Jesse & Joy,"3,986.2",2.881,"3,461.0","2,473.6",525.2
486,CNCO,"3,971.6",0.953,"3,557.7","2,289.2",414.0
487,Passenger,"3,969.2",1.432,"3,969.2","3,786.4",
488,Foster The People,"3,954.9",1.427,"3,763.7","3,669.3",191.2
489,Rod Wave,"3,949.1",4.020,"3,806.2","3,082.0",142.9
490,Luis R Conriquez,"3,927.8",5.951,"1,921.6","1,216.8","2,006.2"
491,Nas,"3,917.5",1.962,"2,811.9","1,701.7","1,105.6"
492,Cage The Elephant,"3,907.0",1.895,"3,907.0","3,838.1",
493,Carlos Vives,"3,892.5",1.744,"3,394.0","1,319.4",498.4
494,MEDUZA,"3,890.9",2.973,"3,630.6",6.5,260.3
495,Ufo361,"3,882.7",1.303,"3,054.5","1,581.4",828.2
496,Mitski,"3,881.6",3.932,"3,847.4","3,847.4",34.3
